1,Astro Candy
2,Atomic
3,Casino
4,Dojo 2.0
5,Futureth
6,Graffiti
7,King of ETHs
8,Lab
9,Martian
10,Matrix
11,Miami Vice
12,Night Sky
13,Pac Man
14,Pax Romana
15,Sin City
16,Sky Castles
17,Sky High
18,Street Footy
19,Tribal
20,Tropic Thunder
21,Dogtags
22,Duel
23,ETH
24,Footy
25,The OG
26,Thin Gold
27,Two Chains
28,Aped In (This is a gray shirt made with Pjanic' ape only for Pjanic)
29,Aloha
30,Blazer Cream
31,Bomber Patch
32,Bucci Tracksuit
33,Bumble Bee Patch
34,Bumble Bee
35,Burbery and Shirt
36,Burberry
37,Buzzer Beater
38,Classy Issue (this is plain white shirt and black tie)
39,Cloak Patch
40,Cloak (ie. vampire/the count)
41,Cupertino
42,ETH Maximus patch
43,ETH Maximus
44,Flak Patch
45,Flak Vest
46,Gamer Hoodie Black
47,Gamer Hoodie Blue
48,Gamer Hoodie Gray
49,Gamer Hoodie Red
50,Gilet Patch
51,Gilet
52,Leather
53,LL Black Tee
54,LL White Tee
55,LL Purple Tee
56,LL Custom Tee (where each player has a diff colourway based on their club jersey colours)
57,LL Home Tee (black and purple one)
58,LL Away Tee (white and peach one)
59,LL 3rd Tee (yellow and green)
60,LL Periwinkle Blue Hoodie
61,LL Black To the Future Hoodie
62,LL Peaches Hoodie
63,LL Neon Green Hoodie
64,LL White Bomber
65,LL Olive Bomber
66,LL Black Bomber
67,Macau (red tux)
68,Maharaja
69,Minimal (Black suit)
70,Monte carlo (white tux)
71,Off-piste patch
72,Off-piste
73,Rainbow Road
74,Rogue Patch
75,Rogue
76,Shearling Black
77,Shearling Cream
78,Tarantino
79,Vegas Baby (black tux)
80,Yacht (cravat suit)
81,Avalanche
82,Billie Jean
83,Beanie Black
84,Bucket
85,Caesar
86,Centurion
87,Cowboy
88,Dadcap Black
89,Fitted Side Gray 
90,Fitted Side White
91,French Blue
92,Headphones
93,Hogan Gray
94,Journalist
95,Kremlin
96,LL Black Cap
97,LL White Cap
98,Magna Carta
99,Notorious
100,Nostra
101,Panama
102,Raiden Patch
103,Raiden
104,Santa
105,Smokey
106,Steampunk
107,The Magician
108,Uponly
109,Covid
110,Stylebender
111,Bucci
112,Revolution
113,arnie
114,avalanche 
115,aviator
116,classic (its wayfarer basically)
117,bucci
118,eth vision
119,"golden eye (sometimes called cool yellow, it has a detailed bridge on the nose)"
120,lenon cake (flat 2D yellow)
121,LV
122,"malcolm (hipster rim, clear lenses)"
123,milano brown
124,milano dark
125,milano yellow
126,milano 
127,mr anderson (90s style)
128,neo
129,rose
130,steampunk
131,white walker
132,Scouter (to be made)
133,Cyclops eyewear (to be made)
134,Vaporwave
